date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2018-10-25,13987101.83010089,46803,1026328828.8547717,9.72,106770000.0,24186.0,19.896715168005723,22082,9.717429558136393,0.00042,195867208025787.16,37944,9075804,6034
2018-10-26,41181277.21840166,57399,1017558216.0,9.64,115908000.0,24423.25,26.165834019787503,31754,9.660613728449889,0.00042,191900268101816.34,48853,10389355,6095
2018-10-27,4764386.558754614,43426,1016372416.1394383,9.63,103230000.0,24397.5,27.39792342390818,18613,6.030628408942686,3.43783e-05,194990137372085.03,34676,8777543,6088
2018-10-28,33718812.886202745,44788,1017504995.3288243,9.63,110869000.0,24437.75,27.30203638089442,18887,5.784974353083069,0.000105,191655137841795.6,35331,8954490,6099
2018-10-29,27033260.11532858,47006,1012631710.6222467,9.59,157042000.0,24525.0,21.605577632082298,19960,9.38254551416,0.00021,187664504952378.16,37912,9330293,6121
2018-10-30,13938602.049724873,44193,959124858.3706993,9.08,136682000.0,24190.75,25.66854694626332,19292,8.94788707144,3.8686e-05,188956410062868.28,36053,9017029,6036
2018-10-31,11089938.587417625,46150,954449202.3040088,9.03,125670000.0,24653.75,20.848861409355052,19463,6.3173114256,0.000105,188017589174768.62,37086,9288890,6151
2018-11-01,6313763.315485396,58316,951114601.9889503,9.0,115387000.0,24484.25,30.092608426677472,19269,1.825359043359483,0.00042,190201896953020.6,48836,11383031,6109
2018-11-02,50863932.00143576,48095,958075287.0656455,9.06,113927000.0,24081.75,50.01218807516895,19138,5.459643141348561,0.00022872,181645927349261.66,35975,9566150,6008
2018-11-03,7825476.118691207,49958,966653117.047201,9.14,112902000.0,24377.75,24.283564850514736,18915,4.57107077819448,0.000126,179198325024896.4,35508,9866579,6083
2018-11-04,8674344.377567442,46205,964426613.9423693,9.12,143710000.0,24576.5,17.57711422529205,18958,5.328701088,0.000126,182601277263729.28,35151,9274003,6132
2018-11-05,10516595.559179481,48422,987200979.4212766,9.33,135752000.0,24529.5,23.864220811980356,19491,4.83206178220234,0.000105,179942567546128.6,36310,9756445,6123
2018-11-06,16666337.181862194,48293,989409760.2388663,9.41,161376000.0,24363.75,17.962510372096077,19792,6.752634941500499,9.4028e-05,179922075529494.38,37300,9511808,6079
2018-11-07,29119353.09074265,50788,1045666287.5062242,9.88,142023000.0,24130.25,21.338026509136114,19638,5.0163702603443605,0.00042,177233236912448.78,40601,9904096,6022
2018-11-08,12875996.943513742,46907,1018478275.0614406,9.62,125338000.0,24764.25,21.900999569579664,19631,6.161553684519999,0.0001680042,178490126834869.3,37056,9351082,6178
2018-11-09,7563378.475496094,45609,1001384491.0,9.45,142040000.0,24619.0,17.704015710134986,19093,5.622749999999999,0.000189209,179296766103406.62,35760,9185751,6143
2018-11-10,5788184.103370766,44689,1001271940.9725157,9.45,123220999.99999999,24311.75,16.35905505261255,18704,6.793432730955948,3.5223e-05,180650788927192.56,35416,9013701,6066
2018-11-11,6867354.708221706,43578,1001680157.0410366,9.45,148242000.0,24316.5,15.759831944651227,18519,7.067904744599999,3.5223e-05,180785558306041.88,34697,8703202,6069
2018-11-12,17932305.693011075,45014,984021164.7094668,9.28,119261000.0,24535.75,20.367959832591236,19185,9.274474456,3.43783e-05,175840918558961.44,36260,8926888,6122
2018-11-13,8606894.78796522,43393,973357904.2797357,9.18,130397999.99999999,24143.75,17.363290788343217,19290,9.18,3.43783e-05,175829090747010.03,35913,8678887,6026
2018-11-14,43128834.31146242,45588,961478267.0490566,9.07,360971999.99999994,24772.5,16.904051642627582,20247,9.073173924488454,0.000105,176426062574815.3,38017,9079815,6182
2018-11-15,33603036.73065122,42488,841337505.0323834,7.93,285111000.0,24420.25,15.820863222866567,19118,7.933789110765712,0.000105,177868403357225.06,35421,8577130,6093
2018-11-16,17624375.405615337,44169,823177402.6595174,7.76,165776000.0,24170.5,14.642423090217552,18590,7.7574440112,2.31e-05,175026096638988.38,34997,9321629,6031
2018-11-17,5347859.209742465,40563,792161820.7307172,7.47,149058000.0,24401.75,13.693463866923999,17044,7.4643619428,2.31e-05,170499311155596.56,33157,8426274,6089
2018-11-18,5205709.238927552,40691,786328458.962416,7.41,164022000.0,24432.75,13.96061952999228,17054,7.4053066542,2.31e-05,169334730723725.78,33858,8401101,6096
2018-11-19,21955424.399150264,44722,790613050.3709677,7.45,241759000.0,24305.0,16.669799452720603,19515,7.454578305050864,0.000181745454534,166333208049609.75,37419,8840339,6065
2018-11-20,44240169.465876065,46308,659704509.2290909,6.21,323667000.0,24274.0,17.117940682297913,19660,6.214715961869141,0.0002017301,162818097511436.88,38388,9078967,6056
2018-11-21,14541553.741802512,45059,586466203.1999999,5.52,182373000.0,24178.5,14.545092030757981,18600,4.711744444545516,2.31e-05,155364441297292.03,36459,9063867,6035
2018-11-22,8202515.549977557,46546,611899085.6629214,5.76,135517000.0,24326.75,21.29153613515766,18424,5.25876062112,2.31e-05,153426401130041.1,36344,9205253,6068
2018-11-23,11404889.423723636,49833,565552280.1535509,5.32,189999999.99999997,24572.5,15.906428842597602,18832,3.8738813708000004,2.31e-05,151792131191246.25,38144,9659643,6129
2018-11-24,12675880.682660747,46416,554321365.6226416,5.22,159911000.0,24081.25,15.34246335137577,18326,5.218986870634682,3.43783e-05,151674309318070.47,36871,9084811,6008
2018-11-25,16180027.453481073,49210,507565735.1092437,4.77,214075000.00000003,24195.5,16.545939083072476,19520,4.7699974719,3.43783e-05,146812849498392.2,39122,9465882,6035
2018-11-26,11038986.762789955,56285,507744088.8564815,4.78,173389000.0,24303.25,20.518497435165997,19217,2.39,0.000272465454534,143625331268577.34,44710,10822550,6062
2018-11-27,14446347.624443414,47716,457482504.5695364,4.3,152596000.0,24257.25,16.116176750625915,18884,3.8464263465,2.31e-05,137344348673289.83,37356,9478428,6048
2018-11-28,17120085.62100302,51578,481763003.50701404,4.53,236086000.0,24438.25,17.430608154156246,19658,4.530317064984957,2.694109089e-05,133759772484507.69,40594,9962585,6094
2018-11-29,42876070.908731215,53010,533250401.47058827,5.01,229957883.0,24358.5,17.150866850196184,21124,5.00245696905,2.31e-05,133051092076995.23,41708,10115947,6077
